index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
43857,45501584,1,0,1,2,3,4,1,0,0,1,1,1,1,1,30
43858,45501566,1,0,1,2,3,4,1,0,0,1,1,1,1,1,29
43859,45501542,1,0,1,2,3,4,1,0,0,1,1,1,1,1,5
43860,45500561,1,0,1,2,3,4,1,1,0,1,1,1,1,1,7
43861,45499031,1,0,1,2,3,4,0,0,0,1,1,1,0,1,4
43862,45497775,1,0,1,2,3,4,1,1,0,1,1,1,1,1,33
43863,45496431,1,0,1,2,3,4,1,0,0,0,1,1,1,1,5
43864,45492513,1,0,1,2,3,4,1,0,0,0,1,1,1,1,13
43865,45490790,1,0,1,2,3,4,1,1,0,1,1,1,1,1,10
43866,45489586,0,0,1,2,3,4,1,1,0,1,1,1,0,1,8
43867,45489098,1,0,1,2,3,4,1,1,0,1,1,1,1,1,1
43868,45489090,1,0,1,2,3,4,0,0,0,0,1,1,1,1,15
43869,45487541,1,0,1,2,3,4,0,0,0,1,1,1,1,1,25
43870,45465430,1,0,1,2,3,4,1,0,0,1,1,1,1,1,33
43871,45466251,1,0,1,2,3,4,1,1,0,0,1,1,1,1,23
43872,45462551,1,0,1,2,3,4,0,0,0,0,1,1,1,1,21
43873,45461471,0,0,1,2,3,4,1,0,0,1,1,1,1,1,12
43874,45460144,1,0,1,2,3,4,1,0,0,0,1,1,1,1,7
43875,45459918,0,0,1,2,3,4,1,1,0,1,1,1,1,1,10
43876,45458679,1,0,1,2,3,4,1,1,0,0,1,1,1,1,31
43877,45456182,0,0,1,2,3,4,0,0,0,1,1,1,0,1,32
43878,45449794,1,0,1,2,3,4,1,0,0,1,1,1,1,1,8
43879,45423821,1,0,1,2,3,4,0,1,0,1,1,1,1,1,32
43880,45422356,0,0,1,2,3,4,1,1,0,1,1,1,1,1,16
43881,45420110,1,0,1,2,3,4,1,1,0,0,1,1,0,1,21
43882,45419723,1,0,1,2,3,4,1,0,0,0,1,1,1,1,1
43883,45414866,1,0,1,2,3,4,0,0,0,0,1,1,0,1,7
43884,45413635,0,0,1,2,3,4,1,1,0,1,1,1,1,1,1
43885,45413523,0,0,1,2,3,4,1,1,0,1,1,1,1,1,27
43886,45413354,0,0,1,2,3,4,1,1,0,1,1,1,1,1,11
43887,45413412,1,0,0,2,3,4,1,1,1,1,0,0,0,1,18
43888,45413244,0,0,1,2,3,4,1,1,0,1,1,1,1,1,12
43889,45412916,0,0,1,2,3,4,1,1,0,1,1,1,1,1,21
43890,45412814,1,0,1,2,3,4,1,1,0,1,1,1,1,1,1
43891,45412004,1,0,1,2,3,4,1,0,0,1,1,1,1,1,12
43892,45408312,1,0,1,2,3,4,1,0,0,0,1,1,1,1,23
43893,45408107,1,0,1,2,3,4,0,0,0,0,1,1,1,1,5
43894,45408110,1,0,1,2,3,4,0,0,0,0,1,1,1,1,31
43895,45408113,1,0,1,2,3,4,0,0,0,0,1,1,1,1,27
43896,45408126,1,0,1,2,3,4,0,0,0,0,1,1,1,1,19
